K-stat 무역통계 - 한국무역협회,,,,,,,,,
"국가 : 홍콩  ,  수입구분 : 전체  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,,
년,수출,수출,수출,수출,수입,수입,수입,수입,수지
1990년,"3,779,949",12,"2,225,919,372",-23.2,"613,894",5.6,"238,490,911",16.7,"3,166,055"
1989년,"3,374,586",-5.2,"2,899,673,562",-38.3,"581,607",4.6,"204,412,258",-84.5,"2,792,979"
1988년,"3,560,944",61.6,"4,700,908,296",0,"555,793",40.4,"1,320,135,034",0,"3,005,151"
1987년,"2,204,121",30.4,0,0,"395,995",-1.1,0,0,"1,808,126"
1986년,"1,690,774",8,0,0,"400,597",-18.7,0,0,"1,290,177"
1985년,"1,565,544",22.2,0,0,"492,495",5.2,0,0,"1,073,049"
1984년,"1,281,180",58.7,0,0,"467,969",111.5,0,0,"813,211"
1983년,"807,430",-10.1,0,0,"221,218",-9.5,0,0,"586,212"
1982년,"897,714",-22,0,0,"244,352",21.8,0,0,"653,362"
1981년,"1,150,928",39.8,0,0,"200,674",104.4,0,0,"950,254"
1980년,"823,318",55.1,0,0,"98,199",11.8,0,0,"725,119"
1979년,"530,668",37.9,0,0,"87,866",73.6,0,0,"442,802"
1978년,"384,686",12.5,0,0,"50,601",41.1,0,0,"334,085"
1977년,"342,052",953,0,0,"35,865",-2.3,0,0,"306,187"
1976년,"32,485",-82.2,0,0,"36,706",85.7,0,0,"-4,221"
1975년,"181,993",20.4,0,0,"19,762",-35.1,0,0,"162,231"
1974년,"151,153",28.4,0,0,"30,437",3.6,0,0,"120,716"
1973년,"117,724",62.6,0,0,"29,390",-18.2,0,0,"88,334"
1972년,"72,382",74.6,0,0,"35,944",82.5,0,0,"36,438"
1971년,"41,448",50.3,0,0,"19,696",-0.2,0,0,"21,752"
1970년,"27,574",12.8,0,0,"19,738",-1.3,0,0,"7,836"
1969년,"24,442",0,0,0,"20,007",43.7,0,0,"4,435"
1968년,0,-100,0,0,"13,926",15.6,0,0,"-13,926"
1967년,"15,244",62.3,0,0,"12,045",55.4,0,0,"3,199"
1966년,"9,395",-13.8,0,0,"7,752",-2.6,0,0,"1,643"
1965년,"10,893",0,0,0,"7,955",0,0,0,"2,938"
