K-stat 무역통계 - 한국무역협회,,,,,,,,,
"국가 : 중국  ,  수입구분 : 전체  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,,
년,수출,수출,수출,수출,수입,수입,수입,수입,수지
2001년,"18,190,190",-1.4,"25,295,842,639",14.4,"13,302,675",3.9,"44,564,968,382",1,"4,887,515"
2000년,"18,454,540",34.9,"22,116,866,141",3.6,"12,798,728",44.3,"44,102,979,888",67.8,"5,655,812"
1999년,"13,684,599",14.6,"21,352,709,492",-2.4,"8,866,667",36.7,"26,283,236,125",21.5,"4,817,932"
1998년,"11,943,990",-12,"21,885,761,277",17.5,"6,483,958",-35.9,"21,634,975,774",-32.5,"5,460,032"
1997년,"13,572,463",19.3,"18,621,036,792",58.3,"10,116,861",18.5,"32,051,583,043",29.6,"3,455,602"
1996년,"11,377,068",24.4,"11,760,044,553",27.7,"8,538,568",15.4,"24,736,492,249",14.9,"2,838,500"
1995년,"9,143,588",47.4,"9,209,312,906",29.2,"7,401,196",35.5,"21,537,009,640",7.1,"1,742,392"
1994년,"6,202,986",20.4,"7,130,627,089",-21.4,"5,462,849",39,"20,115,979,956",19,"740,137"
1993년,"5,150,992",94.1,"9,070,991,717",-19.8,"3,928,741",5.5,"16,909,602,632",-11,"1,222,251"
1992년,"2,653,639",164.7,"11,304,626,349",853.8,"3,724,941",8.3,"19,005,308,257",-31.6,"-1,071,302"
1991년,"1,002,511",71.4,"1,185,231,489",63.2,"3,440,548",51.7,"27,766,803,523",125.2,"-2,438,037"
1990년,"584,854",33.7,"726,139,594",7.7,"2,268,137",33.1,"12,329,614,450",80.5,"-1,683,283"
1989년,"437,355",17.5,"674,073,851",-34.8,"1,704,540",22.9,"6,830,790,745",-4.4,"-1,267,185"
1988년,"372,250",76.4,"1,033,743,429",0,"1,386,693",60.1,"7,145,220,071",0,"-1,014,443"
1987년,"211,024",70.9,0,0,"865,972",39.5,0,0,"-654,948"
1986년,"123,478",206.2,0,0,"620,768",29.8,0,0,"-497,290"
1985년,"40,330",138,0,0,"478,401",133.2,0,0,"-438,071"
1984년,"16,943",250.1,0,0,"205,160",195.9,0,0,"-188,217"
1983년,"4,840",-23.5,0,0,"69,345",-24.2,0,0,"-64,505"
1982년,"6,323",36.4,0,0,"91,477",30.7,0,0,"-85,154"
1981년,"4,634",-69.9,0,0,"69,987",173.6,0,0,"-65,353"
1980년,"15,421",0,0,0,"25,578",358.6,0,0,"-10,157"
1979년,0,0,0,0,"5,577","14,873.50",0,0,"-5,577"
1978년,0,-100,0,0,37,-68.1,0,0,-37
1977년,1,0,0,0,117,-15.4,0,0,-116
1976년,0,0,0,0,138,-23.4,0,0,-138
1975년,0,0,0,0,180,0,0,0,-180
1974년,0,0,0,0,0,0,0,0,0
1973년,0,0,0,0,0,0,0,0,0
1972년,0,0,0,0,0,0,0,0,0
1971년,0,-100,0,0,0,-100,0,0,0
1970년,"7,211",0,0,0,"33,998",0,0,0,"-26,787"
