K-stat 무역통계 - 한국무역협회,,,,,,,,,
"국가 : 미국  ,  수입구분 : 전체  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,,
년,수출,수출,수출,수출,수입,수입,수입,수입,수지
1992년,"18,090,048",-2.5,"6,481,821,248",46,"18,287,268",-3.2,"31,006,026,759",20.8,"-197,220"
1991년,"18,559,256",-4.1,"4,440,132,151",9.8,"18,894,368",11.5,"25,673,632,581",-22.5,"-335,112"
1990년,"19,359,997",-6.2,"4,044,730,023",-15.7,"16,942,472",6.5,"33,124,039,895",24.1,"2,417,525"
1989년,"20,638,993",-3.6,"4,796,029,217",-43.5,"15,910,683",24.7,"26,690,564,779",11.6,"4,728,310"
1988년,"21,404,087",16.9,"8,483,308,650",0,"12,756,658",45.7,"23,914,628,947",0,"8,647,429"
1987년,"18,310,792",31.9,0,0,"8,758,219",33.8,0,0,"9,552,573"
1986년,"13,879,958",29.1,0,0,"6,544,708",0.9,0,0,"7,335,250"
1985년,"10,754,100",2.6,0,0,"6,489,322",-5.6,0,0,"4,264,778"
1984년,"10,478,796",28.9,0,0,"6,875,475",9.6,0,0,"3,603,321"
1983년,"8,127,850",32.8,0,0,"6,274,431",5.3,0,0,"1,853,419"
1982년,"6,118,644",10,0,0,"5,955,811",-1.6,0,0,"162,833"
1981년,"5,560,861",20.7,0,0,"6,050,199",23.7,0,0,"-489,338"
1980년,"4,606,625",5.3,0,0,"4,890,248",6.3,0,0,"-283,623"
1979년,"4,373,929",7.8,0,0,"4,602,581",51.3,0,0,"-228,652"
1978년,"4,058,345",30.1,0,0,"3,042,950",24.3,0,0,"1,015,395"
1977년,"3,118,648",25.1,0,0,"2,447,439",24.7,0,0,"671,209"
1976년,"2,492,573",62.2,0,0,"1,962,907",4.3,0,0,"529,666"
1975년,"1,536,287",3,0,0,"1,881,144",10.6,0,0,"-344,857"
1974년,"1,492,168",46.1,0,0,"1,700,816",41.5,0,0,"-208,648"
1973년,"1,021,182",34.5,0,0,"1,201,884",85.7,0,0,"-180,702"
1972년,"758,975",42.7,0,0,"647,225",-4.6,0,0,"111,750"
1971년,"531,814",34.6,0,0,"678,331",16,0,0,"-146,517"
1970년,"395,181",0,0,0,"584,792",0,0,0,"-189,611"
1969년,0,0,0,0,0,0,0,0,0
1968년,0,0,0,0,0,0,0,0,0
1967년,0,0,0,0,0,0,0,0,0
1966년,0,-100,0,0,0,-100,0,0,0
1965년,"61,700",0,0,0,"182,300",0,0,0,"-120,600"
